Artikelnummer;Bezeichnung1;Bezeichnung2;EANNummer;Gewicht;GewichtLME;USER_AABreite;USER_AAHoehe;USER_AATiefe;USER_AFBreite;USER_AFGewicht;USER_AFHoehe;USER_AFLaenge;USER_AFVolumen;USER_AI;USER_AIBreite;USER_AIHoehe;USER_AILaenge;USER_EANNummerVerp;USER_EANNummerVerp2;USER_Farbe;USER_GewVE1;USER_GewVE2;USER_MatZusammensetzung;USER_Material;USER_PHArtikel115Pal;USER_ULBreite;USER_ULGewicht;USER_ULHoehe;USER_ULLaenge;Verkaufsmengeneinheit;Warennummer;FEFCO_Code
210100125;"VERSANDTASCHE AUS WELLPAPPE CD, 145x190x-25mm";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103682;0.028;0.036;20.3;2.8;15.8;20;0.7;7.5;38;100;;19;2.5;14.5;4250414103699;4250414110246;braun;;;"120 KLS braun / 70 WS / 115 TL braun ";"1.20e KLS ";3600;20;2.8;29.5;38;Stck.;48191000;
210100225;"VERSANDTASCHE AUS WELLPAPPE DVD, 150x250x-50mm";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103705;0.045;0.045;26.8;5.2;16.7;;4.5;;;100;;37;18;42.5;4250414103712;4250414110178;braun;;;"120 KLS / 70 WS / 115 TL";"1.20e KLS";3000;37;4.9;18;42.5;Stck.;48191000;
210100325;"VERSANDTASCHE AUS WELLPAPPE A5, 187x272x-50mm,";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103729;0.056;0.056;28.8;5.2;20;39.5;1.4;10;38;100;;27.2;5;18.7;4250414103736;4250414110185;braun;;;"120 KLS / 70 WS / 115 TL ";"1.20e KLS ";3000;37.5;6.005;21;39;Stck.;48191000;
210100425;"VERSANDTASCHE AUS WELLPAPPE A4, 210x292x-50mm,";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103743;0.067;0.067;31.1;5.2;22.8;39;1.675;6;42;100;;29.2;5;21;4250414103750;4250414110192;braun;;;"120 KLS braun / 70 WS / 115 TL braun ";"1.20e KLS ";2400;38.5;7.145;23;42;Stck.;48191000;
210100525;"VERSANDTASCHE AUS WELLPAPPE A4+, 235x337x-35mm";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103767;0.068;0.068;35.2;4;25;26;1.7;10;44;100;;33.7;3.5;23.5;4250414103774;4250414110208;braun;;;"120 KLS / 70 WS / 115 TL";"1.20e KLS ";2400;25.8;7.215;42.6;44.3;Stck.;48191000;
210100625;"VERSANDTASCHE AUS WELLPAPPE C4+, 248x340x-50mm";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103798;0.085;0.085;35.5;5.2;26.5;26.2;2.125;10;42.5;100;;34;5;24.8;4250414103781;4250414110215;braun;;;"120 KLS / 70 WS / 115 TL ";"1.20E KLS";1800;26.5;8.94;42.5;43.5;Stck.;48191000;
210100725;"VERSANDTASCHE AUS WELLPAPPE B4, 246x357x-50mm,";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103804;0.088;0.088;37.3;5.2;26.1;26.2;2.2;8.6;44.5;100;;35.7;5;24.6;4250414103811;4250414110222;braun;;;"120 KLS / 70 WS / 115 TL ";"1.20e KLS ";1800;26.5;9.23;44.5;39;Stck.;48191000;
210100825;"VERSANDTASCHE AUS WELLPAPPE B4+, 285x397x-50mm";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103828;0.108;0.108;41.4;5.2;30.3;30;2.7;10;48.5;100;;39.7;5;28.5;4250414103835;4250414110239;braun;;;"120 KLS / 70 WS / 115 TL";"1.20e KLS ";1600;31;11.34;49;43.5;Stck.;48191000;
210100925;"VERSANDTASCHE AUS WELLPAPPE A3, 335x500x-50mm,";"sk m. Aufreißfaden, braun, var. Höhe, VE 4x25 St.";4250414103842;0.15;0.15;52;5.2;35.2;35.2;3.75;8.5;58.7;100;;50;5;33.5;4250414103859;4250414109134;braun;;;"120 KLS / 70 WS / 115 TL ";"1.20 E KLS";1000;39;15.685;36;59;Stck.;48191000;
210101025;"Versandtasche aus Wellpappe, 177x120x48mm, bedr.";"mit SK und Aufreifaden, zu 25 St geb";4250414143435;0.019;0.019;12.2;5;18;18;0.475;10;19;25;;12;4.8;17.7;4250414143442;;;;;"120 KLS / 70 WS / 115 TL";"1.20e KLS";6000;;;;;Stck.;48191000;
210102525;"Versandtasche aus Wellpappe, A4+, 246x346x-76mm";"SK u. Aufreißfaden, 4x25 St., AM: 250x350x-80mm";4250414146399;0.068;0;25;8;35;26;1.7;10;45.5;25;;24.6;7.6;34.6;4250414146429;;schwarz;;;"120 KLS braun / 70 WS / 115 TL braun";"1.20e KLS";1600;26;7.2501;42.5;45.5;Stck.;48191000;Stanzverp.
