HAN,BEZEICHNUNG,EINHEIT,WAEHRUNG,PREIS0,ABMENGE0,PREIS1,ABMENGE1,PREIS2,ABMENGE2,PREIS3,ABMENGE3,PREIS4,ABMENGE4,PREIS5,ABMENGE5,PREIS6,ABMENGE6,PREIS7,ABMENGE7,PREIS8,ABMENGE8,PREIS9,ABMENGE9
210100125,"VERSANDTASCHE AUS WELLPAPPE CD, 145x190x-25mm",Stck.,EUR,0.284,100,0.200,500,0.197,3600,0.184,7200,,,,,,,,,,,,
210100225,"VERSANDTASCHE AUS WELLPAPPE DVD, 150x250x-50mm",Stck.,EUR,0.240,100,0.160,400,0.158,3000,0.143,6000,,,,,,,,,,,,
210100325,"VERSANDTASCHE AUS WELLPAPPE A5, 187x272x-50mm,",Stck.,EUR,0.261,100,0.186,400,0.179,3000,0.164,6000,,,,,,,,,,,,
210100425,"VERSANDTASCHE AUS WELLPAPPE A4, 210x292x-50mm,",Stck.,EUR,0.273,100,0.204,300,0.199,2400,0.179,4800,,,,,,,,,,,,
210100525,"VERSANDTASCHE AUS WELLPAPPE A4+, 235x337x-35mm",Stck.,EUR,0.289,100,0.233,200,0.215,2400,0.196,4800,,,,,,,,,,,,
210100625,"VERSANDTASCHE AUS WELLPAPPE C4+, 248x340x-50mm",Stck.,EUR,0.327,100,0.271,200,0.266,1800,0.240,3600,,,,,,,,,,,,
210100725,"VERSANDTASCHE AUS WELLPAPPE B4, 246x357x-50mm,",Stck.,EUR,0.326,100,0.270,200,0.265,1800,0.239,3600,,,,,,,,,,,,
210100825,"VERSANDTASCHE AUS WELLPAPPE B4+, 285x397x-50mm",Stck.,EUR,0.379,100,0.339,200,0.324,1600,0.295,3200,,,,,,,,,,,,
210100925,"VERSANDTASCHE AUS WELLPAPPE A3, 335x500x-50mm,",Stck.,EUR,0.462,100,0.443,1000,0.396,2000,,,,,,,,,,,,,,
210101025,"Versandtasche aus Wellpappe, 177x120x48mm, bedr.",Stck.,EUR,0.231,100,0.137,600,0.133,6000,0.126,12000,,,,,,,,,,,,
210102525,"Versandtasche aus Wellpappe, A4+, 246x346x-76mm",Stck.,EUR,0.316,100,0.277,200,0.266,1600,0.256,3200,,,,,,,,,,,,
211101010,"Automatikbodenkarton, 350x256x135mm",Stck.,EUR,1.668,10,1.105,20,0.823,40,0.767,50,0.687,640,0.614,1280,,,,,,,,
211101020,"Automatikbodenkarton, A5+, 229x164x50-115mm",Stck.,EUR,1.378,10,0.815,20,0.477,50,0.346,120,0.314,1500,0.283,3000,,,,,,,,
211101110,"Automatikbodenkarton, 315x155x120mm",Stck.,EUR,1.440,10,0.877,20,0.596,40,0.502,60,0.386,1280,0.350,2560,,,,,,,,
211101120,"Automatikbodenkarton, A4, 304x216x130-220mm",Stck.,EUR,1.529,10,0.966,20,0.591,60,0.557,600,0.480,1200,,,,,,,,,,
211101125,"Universalverpackung `CD`, 150x133x-54mm,",Stck.,EUR,0.584,25,0.171,300,0.160,3600,0.147,7200,,,,,,,,,,,,
211101210,"Automatikbodenkarton, 300x210x85mm",Stck.,EUR,1.534,10,0.971,20,0.690,40,0.596,60,0.519,840,0.463,1680,,,,,,,,
211101220,"Automatikbodenkarton, A3+, 460x309x180-300mm",Stck.,EUR,2.018,10,1.208,40,1.201,300,1.046,600,,,,,,,,,,,,
211101225,"Universalverpackung `A5`,219x157x-54mm,",Stck.,EUR,0.625,25,0.233,225,0.226,1800,0.201,3600,,,,,,,,,,,,
211101310,"Automatikbodenkarton, 540x380x160mm",Stck.,EUR,2.413,10,1.850,20,1.662,30,1.618,280,1.452,560,,,,,,,,,,
211101325,"Universalverpackung `A5+`, 249x165x-70mm,",Stck.,EUR,0.640,25,0.265,150,0.241,1800,0.215,3600,,,,,,,,,,,,
211101410,"Automatikbodenkarton, 540x380x320mm",Stck.,EUR,2.736,10,2.173,20,2.152,30,2.125,180,1.868,360,,,,,,,,,,
211101425,"Universalverpackung `B5`, 274x185x-80mm,",Stck.,EUR,0.651,25,0.286,150,0.277,1200,0.239,2400,,,,,,,,,,,,
211101510,"Automatikbodenkarton, 220x220x73mm ",Stck.,EUR,1.447,10,0.884,20,0.602,40,0.415,120,0.365,2100,0.342,4200,,,,,,,,
